time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7436.486833	26.261251	-0.516497	0.009508	215
7438.527777	26.282906	-0.511609	0.009274	217
7440.566858	26.217075	-0.506978	0.009514	219
7442.606434	26.204519	-0.503066	0.009424	221
7444.642451	26.144444	-0.498719	0.009367	223
7446.679126	25.981600	-0.494875	0.009003	225
7448.714344	25.849691	-0.490821	0.008920	227
7450.750351	25.757526	-0.485283	0.008744	229
7452.787430	25.717754	-0.480298	0.008488	231
7454.825593	25.624470	-0.475376	0.008252	233
7456.865098	25.647772	-0.470225	0.007791	235
7458.905855	25.731928	-0.465126	0.007777	237
7460.947390	25.755283	-0.460446	0.007772	239
7462.988633	25.791529	-0.454555	0.007535	241
7465.029679	25.864210	-0.449856	0.007470	243
7467.070691	25.978165	-0.444904	0.007311	245
7469.109609	26.044159	-0.440578	0.007216	247
7471.150156	26.141300	-0.435923	0.007038	249
7473.191253	26.205345	-0.431109	0.006567	251
7475.231493	26.408136	-0.426647	0.006769	253
7477.275148	26.351994	-0.421843	0.006919	255
7479.316811	26.316742	-0.416851	0.006688	1
7481.362871	26.306660	-0.411698	0.006909	3
7483.409136	26.176115	-0.406826	0.006894	5
7485.455521	26.103920	-0.402420	0.006656	7
7487.501285	26.017963	-0.397585	0.006459	9
7489.547865	25.976801	-0.392522	0.006694	11
7491.590862	25.982996	-0.387748	0.006420	13
7493.633357	26.019796	-0.383234	0.006670	15
7495.675913	26.086601	-0.378866	0.006503	17
7497.718316	26.115438	-0.374479	0.006394	19
7499.757529	26.145924	-0.370780	0.006307	21
7501.800490	26.173071	-0.366732	0.006121	23
7503.841775	26.237556	-0.361849	0.006197	25
7505.881102	26.408403	-0.358721	0.006246	27
7507.922892	26.400335	-0.355433	0.006038	29
7509.962969	26.442902	-0.351424	0.006241	31
7512.002500	26.457338	-0.348099	0.005872	33
7514.043515	26.560617	-0.345074	0.005775	35
7516.078057	26.531433	-0.342314	0.005595	37
7518.113024	26.392250	-0.339201	0.005320	39
7520.148571	26.364052	-0.337148	0.004881	41
7522.183729	26.217089	-0.334745	0.004387	43
7524.217512	26.074512	-0.331988	0.004076	45
7526.250313	25.943394	-0.328246	0.004191	47
7528.288048	25.986757	-0.324839	0.003769	49
7530.325895	25.988762	-0.320388	0.003509	51
7532.363471	26.026096	-0.316816	0.003002	53
7534.404470	26.067955	-0.313857	0.003228	55
