time (s)	magX	magY	magZ
7942.883588	256.856232	178.222092	918.979553
7942.886923	261.181183	180.209229	915.765076
7942.890247	264.454132	182.021042	909.745239
7942.893583	268.603729	183.423721	905.946289
7942.896913	272.168915	185.644653	899.108154
7942.900251	275.792511	187.690231	895.309143
7942.903583	278.305664	188.859146	890.867310
7942.906916	282.572174	190.963181	886.425476
7942.910279	285.377563	193.125656	881.340820
7942.913579	289.351837	195.229691	874.444214
7942.916917	291.689667	196.515488	869.943909
7942.920277	295.488617	198.677963	866.086487
7942.923582	297.767975	200.022217	860.592651
7942.928215	304.489197	202.769135	851.241394
7942.931127	306.476349	204.990067	846.741089
7942.934449	309.457062	206.977203	840.954956
7942.937834	312.087097	207.444763	836.454712
7942.941182	313.840454	209.022797	831.837585
7942.944046	316.061371	210.659271	827.512573
7942.947343	318.925201	211.594391	821.317383
7942.950675	321.029236	212.587967	817.693726
7942.954003	323.425507	213.523087	813.076599
7942.957353	325.646423	215.101105	809.160706
7942.960247	327.984222	215.977798	803.783813
7942.963617	330.263611	217.380493	800.043274
7942.966909	332.601410	218.432495	795.543030
7942.970248	334.296326	219.309174	790.049072
7942.973572	336.166595	220.185867	787.652893
7942.976905	337.627716	220.419632	782.977234
7942.980242	339.614868	221.530090	777.541809
7942.983574	341.192871	222.465225	772.807739
7942.986910	343.296936	223.108109	769.534790
7942.990241	345.517822	223.458801	767.021667
7942.993574	346.745178	224.803040	762.170654
7942.996907	348.089417	224.978363	757.904175
7943.000275	349.375244	225.855057	754.514343
7943.003574	351.829926	225.445923	751.767395
7943.006940	352.122162	226.907074	746.448853
7943.010235	354.167725	227.023972	743.760376
7943.013583	355.102875	227.783737	740.136780
7943.016905	356.914673	228.017532	736.805420
7943.020233	357.499146	228.777328	733.006409
7943.023569	358.668030	228.952667	729.207458
7943.026902	359.427826	229.595551	725.759216
7943.030238	361.298065	229.537125	722.018738
7943.033572	361.765625	230.180008	719.038025
7943.036903	363.168335	230.647583	714.829956
7943.040233	363.752777	232.108704	711.557007
7943.044445	365.739929	231.933365	705.887817
7943.047832	367.785522	232.634720	703.374634
7943.051188	368.019287	232.634720	699.634155
7943.054505	368.369965	234.271179	697.121033
7943.057753	369.538879	234.446518	694.257141
7943.060660	370.649323	234.388077	691.510254
7943.063988	370.473999	235.264771	688.120422
7943.067317	371.818237	235.381638	685.022766
7943.070656	371.818237	235.966095	683.035645
7943.073565	371.759796	235.732330	681.691406
7943.076900	372.461151	235.907669	678.301575
7943.080237	373.863831	236.725891	675.028687
7943.083560	373.980713	236.901230	674.210388
7943.086897	374.915863	236.842789	670.995911
7943.090232	374.915863	236.842789	668.950317
7943.093562	374.857391	237.602585	666.904724
7943.096899	375.500305	237.427231	664.800720
7943.100228	376.318542	237.719452	661.703125
7943.103561	376.493866	237.777908	660.943298
7943.106896	376.961426	237.251892	658.605530
7943.110267	377.838135	237.544128	656.676819
7943.113558	377.604340	237.018127	655.800110
7943.116894	378.247223	237.193451	653.228516
7943.120228	378.422546	237.310349	653.286987
7943.123590	379.182343	237.193451	650.364746
7943.126895	378.890106	237.661011	649.546509
7943.130229	380.526611	237.485687	648.728210
7943.133563	379.533051	237.777908	646.624207
7943.136894	380.351257	237.310349	646.741089
7943.140225	379.474579	237.777908	645.630676
7943.143563	379.825256	237.485687	644.286377
7943.146891	380.526611	237.135025	642.416138
7943.150222	381.111053	237.953247	641.481018
7943.153575	382.104614	237.485687	641.597900
7943.157834	381.753967	237.251892	639.435425
7943.161075	381.344818	237.894791	638.851013
7943.164404	381.578613	237.310349	639.318542
7943.167764	381.286407	237.310349	638.032715
7943.171110	382.279968	237.544128	637.214539
7943.173985	382.396851	237.193451	635.987122
7943.177343	382.455292	237.544128	636.220947
7943.180669	381.929291	237.777908	635.928711
7943.183995	381.637054	238.187012	635.461121
7943.186904	381.987732	237.894791	636.162476
7943.190220	381.461731	237.544128	636.279419
7943.193553	382.279968	238.479248	636.279419
7943.196880	382.279968	238.245483	635.636475
7943.200218	382.279968	237.836349	634.993591
7943.203553	382.630615	237.777908	636.630066
7943.206884	382.163055	238.011688	637.097595
7943.210236	382.513763	237.836349	636.045593
7943.213550	382.805969	238.128586	637.915833
7943.216882	381.812378	238.245483	637.389832
7943.220222	381.987732	238.070145	637.974304
7943.223554	381.637054	238.011688	637.974304
7943.226888	381.286407	238.070145	638.792542
7943.230218	381.052612	237.719452	639.902954
7943.233545	381.637054	237.719452	640.253723
7943.236880	381.637054	237.544128	642.007019
7943.240236	380.818817	237.310349	642.766846
7943.243548	381.111053	237.544128	642.825256
7943.246881	380.818817	237.310349	644.520203
7943.250222	380.701935	236.608994	646.215088
7943.253556	380.000610	236.842789	648.202209
7943.256882	379.299255	236.784332	649.195801
7943.260216	379.708374	236.608994	649.721802
7943.263547	380.292816	235.907669	651.884277
7943.268173	379.357697	235.381638	654.864990
7943.271086	379.182343	235.264771	656.618347
7943.274423	378.831696	234.680313	658.196411
7943.277811	378.539459	235.030975	659.306885
7943.281140	378.481018	234.154282	661.761597
7943.284024	377.545898	233.862076	663.865601
7943.287313	377.428986	233.862076	666.261902
7943.290637	377.078339	233.394516	667.255432
7943.293973	377.136780	233.511383	670.294556
7943.297322	377.487427	233.394516	672.632385
7943.300210	376.143219	233.394516	674.794861
7943.303540	376.143219	232.517822	676.665100
7943.306874	375.383423	232.459396	679.178284
7943.310209	374.915863	232.167160	681.632996
7943.313539	374.097626	231.641144	683.970764
7943.316874	373.863831	231.699600	685.490356
7943.320202	373.337830	231.816467	688.471069
7943.323539	372.344238	231.056702	691.334900
7943.326879	372.227356	231.232040	694.257141
7943.330207	370.707794	230.822906	696.887207
7943.333545	370.590881	230.472244	699.692566
7943.336872	369.129761	229.653992	701.855103
7943.340209	368.194641	229.420227	704.718872
7943.343535	368.019287	229.361786	707.232056
7943.346875	366.090607	228.952667	711.381653
7943.350204	366.558167	228.952667	714.070129
7943.353535	365.739929	228.309769	718.161316
7943.356868	363.928101	228.426666	720.966675
7943.360204	363.402130	227.316177	724.122742
7943.363566	362.233185	226.965515	727.103455
7943.366869	360.713623	225.621277	731.311523
7943.370209	360.362946	224.978363	734.759827
7943.373532	359.018707	224.861496	738.909424
7943.376869	357.557556	224.218597	742.533020
7943.381122	355.453552	222.874344	749.254211
7943.384466	353.875519	221.588547	753.228516
7943.387801	352.297485	221.179428	757.319702
7943.391054	351.479248	219.776733	761.001770
7943.394379	349.901245	218.900055	765.385132
7943.397296	348.206329	218.315613	770.002380
7943.400627	347.154297	217.380493	773.158386
7943.403959	344.816467	216.503799	777.074280
7943.407311	343.647583	215.159546	781.048523
7943.410646	341.777344	214.516647	786.951538
7943.413532	340.023956	213.581528	792.211609
7943.416862	338.445923	212.061951	796.244324
7943.420194	336.809479	211.068375	799.283508
7943.423600	334.880768	210.600815	804.485168
7943.426867	332.542969	208.905899	809.862061
7943.430195	330.672699	207.386322	813.076599
7943.433526	327.984222	206.100525	817.518433
7943.436864	326.523102	205.048508	823.421387
7943.440197	323.483917	204.230270	826.811218
7943.443523	321.204559	202.652252	832.538879
7943.446865	318.925201	201.132675	837.740540
7943.450225	316.295166	200.840439	842.825256
7943.453526	313.782013	199.262421	847.442444
7943.456862	310.625946	198.093506	852.059631
7943.460197	308.755707	196.457047	855.683228
7943.463523	305.599640	194.937469	860.008240
7943.466859	303.028076	193.826996	865.443604
7943.470192	300.047333	191.956741	871.580444
7943.473526	296.832855	190.670959	873.976624
7943.476855	294.144348	189.092926	880.171875
7943.480194	291.163635	187.281128	885.548767
7943.483524	288.241364	185.060196	890.341370
7943.486862	284.442444	183.073059	893.614319
7943.490241	281.111053	181.787247	899.867920
7943.494406	275.032745	177.579193	911.089417
7943.497704	271.350677	175.767395	912.784363
7943.501045	267.785492	174.130920	918.862610
7943.504392	263.402100	171.325546	924.005920
7943.507728	259.953827	169.104614	927.512573
7943.510678	255.921112	166.591461	933.006470
7943.513974	252.063721	164.312103	937.448303
7943.517361	248.264755	162.324951	944.987793
