time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
8054.241974	29.588305	-0.777060	-0.047520	49
8056.296684	29.551033	-0.737970	-0.045555	51
8058.347031	29.448175	-0.700869	-0.043758	53
8060.397577	29.344397	-0.664768	-0.042229	55
8062.446915	29.345240	-0.631823	-0.040366	57
8064.495325	29.320587	-0.600406	-0.038657	59
8066.541259	29.346922	-0.570704	-0.036889	61
8068.584015	29.558306	-0.543583	-0.034918	63
8070.625011	29.966780	-0.517327	-0.033119	65
8072.664559	30.575518	-0.491200	-0.031568	67
8074.703302	31.119455	-0.465027	-0.029898	69
8076.744759	31.620903	-0.438203	-0.028598	71
8078.792637	31.682592	-0.412743	-0.027211	73
8080.849956	31.088446	-0.388049	-0.025927	75
8082.911717	30.214043	-0.365193	-0.025051	77
8084.973969	29.483868	-0.343272	-0.024129	79
8087.035890	28.864185	-0.323248	-0.023956	81
8089.094339	28.489941	-0.303864	-0.023612	83
8091.152714	28.144190	-0.285064	-0.023216	85
8093.206809	28.197639	-0.267252	-0.022246	87
8095.252380	28.184292	-0.251275	-0.021724	89
8097.305564	28.347935	-0.237331	-0.020413	91
8099.365148	28.365099	-0.223477	-0.019405	93
8101.409525	28.471338	-0.210464	-0.018684	95
8103.453294	28.704687	-0.200700	-0.017243	97
8105.491048	28.750725	-0.191015	-0.016237	99
8107.519777	28.983065	-0.183465	-0.014894	101
