time (s)	det(V)
7436.020396	-0.426212	
7436.021917	-0.425309	
7436.023676	-0.427316	
7436.025184	-0.446233	
7436.026900	-0.458910	
7436.028429	-0.458011	
7436.030141	-0.493150	
7436.031680	-0.501199	
7436.033378	-0.503302	
7436.034940	-0.483221	
7436.036616	-0.526650	
7436.038227	-0.508800	
7436.039724	-0.525703	
7436.041357	-0.552294	
7436.042880	-0.562699	
7436.044528	-0.577757	
7436.046016	-0.591828	
7436.047661	-0.605847	
7436.049152	-0.605613	
7436.050810	-0.608252	
7436.052291	-0.634556	
7436.053993	-0.644760	
7436.055474	-0.622709	
7436.057158	-0.669571	
7436.058648	-0.679287	
7436.060315	-0.690131	
7436.061822	-0.690643	
7436.063458	-0.716754	
7436.065021	-0.724666	
7436.066622	-0.730862	
7436.068206	-0.739949	
7436.069868	-0.751132	
7436.071452	-0.763680	
7436.073099	-0.769719	
7436.074695	-0.778420	
7436.076317	-0.807807	
7436.077929	-0.795202	
7436.079522	-0.823807	
7436.081189	-0.844082	
7436.082771	-0.839582	
7436.084447	-0.832706	
7436.086033	-0.849093	
7436.087700	-0.871067	
7436.089272	-0.870963	
7436.090978	-0.897763	
7436.092536	-0.927065	
7436.094239	-0.932407	
7436.095783	-0.929466	
7436.097495	-0.960295	
7436.099010	-0.951186	
7436.100765	-0.962832	
7436.102249	-0.983030	
7436.104030	-0.992984	
7436.105522	-0.986269	
7436.107309	-0.996557	
7436.108791	-1.019636	
7436.110580	-1.046750	
7436.112061	-1.051661	
7436.113840	-1.075722	
7436.115323	-1.084919	
7436.117069	-1.075275	
7436.118580	-1.068266	
7436.120320	-1.113048	
7436.121832	-1.108472	
7436.123567	-1.129959	
7436.125091	-1.124578	
7436.126804	-1.163660	
7436.128352	-1.148308	
7436.130060	-1.195504	
7436.131612	-1.212669	
7436.133296	-1.209341	
7436.134876	-1.196979	
7436.136551	-1.235437	
7436.138123	-1.253484	
7436.139761	-1.252606	
7436.141340	-1.265013	
7436.142970	-1.294097	
7436.144590	-1.327851	
7436.146191	-1.324733	
7436.147850	-1.336233	
7436.149323	-1.344987	
7436.150906	-1.352907	
7436.152395	-1.361032	
7436.154032	-1.388948	
7436.155516	-1.409142	
7436.157134	-1.420852	
7436.158652	-1.417549	
7436.160226	-1.438984	
7436.161771	-1.457168	
7436.163296	-1.490305	
7436.164889	-1.497701	
7436.166470	-1.511546	
7436.168099	-1.497415	
7436.169661	-1.533581	
7436.171292	-1.520710	
7436.172801	-1.570126	
7436.174488	-1.568623	
7436.175976	-1.587677	
7436.177703	-1.607078	
7436.179174	-1.593551	
7436.180911	-1.634474	
7436.182464	-1.639671	
7436.184172	-1.646938	
7436.185694	-1.647929	
7436.187434	-1.648162	
7436.188914	-1.648247	
7436.190678	-1.648412	
7436.192175	-1.648364	
7436.193952	-1.648440	
7436.195435	-1.648311	
7436.197207	-1.648501	
7436.198691	-1.648493	
7436.200446	-1.648396	
7436.201940	-1.648428	
7436.203686	-1.648332	
7436.205208	-1.648549	
7436.206936	-1.648432	
7436.208447	-1.648537	
7436.210163	-1.648444	
7436.211690	-1.648513	
7436.213396	-1.648521	
7436.214949	-1.648521	
7436.216626	-1.648440	
7436.218194	-1.648509	
7436.219865	-1.648453	
7436.221460	-1.648545	
7436.223125	-1.648493	
7436.224713	-1.648549	
7436.226353	-1.648493	
7436.227938	-1.648541	
7436.229568	-1.648448	
7436.231235	-1.648569	
7436.232812	-1.648416	
7436.234485	-1.648537	
7436.236061	-1.648513	
7436.237736	-1.648561	
7436.239306	-1.648493	
7436.240994	-1.648565	
7436.242550	-1.648497	
7436.244251	-1.648525	
7436.245794	-1.648420	
7436.247509	-1.648606	
7436.249010	-1.648501	
7436.250755	-1.648497	
7436.252241	-1.648473	
7436.254002	-1.648545	
7436.255497	-1.648493	
7436.257292	-1.648513	
7436.258774	-1.648545	
7436.260558	-1.648517	
7436.262035	-1.648561	
7436.263640	-1.648453	
7436.265173	-1.648593	
7436.266727	-1.648521	
7436.268318	-1.648541	
7436.269807	-1.648589	
7436.271482	-1.648513	
7436.272965	-1.648489	
7436.274580	-1.648585	
7436.276101	-1.648493	
7436.277740	-1.648533	
7436.279215	-1.648541	
7436.280922	-1.648517	
7436.282400	-1.648565	
7436.284105	-1.648525	
7436.285585	-1.648533	
7436.287295	-1.648569	
7436.288784	-1.648654	
7436.290497	-1.648400	
7436.291985	-1.648541	
7436.293744	-1.648557	
7436.295241	-1.648557	
7436.296985	-1.648513	
7436.298501	-1.648557	
7436.300233	-1.648505	
7436.301765	-1.648489	
7436.303494	-1.648436	
7436.305042	-1.648493	
7436.306743	-1.648469	
7436.308299	-1.648525	
7436.309986	-1.648513	
7436.311543	-1.648573	
7436.313220	-1.648400	
7436.314790	-1.648561	
7436.316449	-1.648444	
7436.318049	-1.648573	
7436.319664	-1.648533	
7436.321273	-1.648573	
7436.322899	-1.648497	
7436.324534	-1.648481	
7436.326131	-1.648388	
7436.327794	-1.648577	
7436.329362	-1.648513	
7436.331048	-1.648517	
7436.332601	-1.648489	
7436.334297	-1.648481	
7436.335843	-1.648440	
7436.337559	-1.648569	
7436.339106	-1.648497	
7436.340808	-1.648533	
7436.342329	-1.648561	
7436.344103	-1.648622	
7436.345584	-1.648424	
7436.347362	-1.648493	
7436.348844	-1.648420	
7436.350628	-1.648432	
7436.352114	-1.648436	
7436.353893	-1.648577	
7436.355384	-1.648457	
7436.357170	-1.648521	
7436.358651	-1.648473	
7436.360439	-1.648481	
7436.361932	-1.648513	
7436.363680	-1.648428	
7436.365196	-1.648444	
7436.366745	-1.648489	
7436.368340	-1.648501	
7436.369825	-1.648521	
7436.371478	-1.648448	
7436.372959	-1.648444	
7436.374585	-1.648167	
7436.376104	-1.647876	
7436.377744	-1.647913	
7436.379216	-1.644239	
7436.380904	-1.636110	
7436.382383	-1.583331	
7436.384096	-1.579858	
7436.385591	-1.554935	
7436.387317	-1.547797	
7436.388803	-1.525210	
7436.390509	-1.503240	
7436.391991	-1.497447	
7436.393669	-1.500545	
7436.395187	-1.461877	
7436.396917	-1.439753	
7436.398433	-1.398044	
7436.400154	-1.390684	
7436.401700	-1.367445	
7436.403400	-1.356210	
7436.404950	-1.300740	
7436.406638	-1.301497	
7436.408201	-1.285690	
7436.409874	-1.260106	
7436.411464	-1.225741	
7436.413136	-1.219106	
7436.414729	-1.190944	
7436.416369	-1.173501	
7436.417973	-1.142713	
7436.419595	-1.117488	
7436.421210	-1.091211	
7436.422806	-1.047334	
7436.424436	-1.055024	
7436.426025	-1.034194	
7436.427714	-1.008953	
7436.429274	-0.981701	
7436.430969	-0.968110	
7436.432529	-0.935702	
7436.434250	-0.869915	
7436.435791	-0.850342	
7436.437493	-0.844343	
7436.439025	-0.789308	
7436.440757	-0.776579	
7436.442235	-0.763684	
7436.444019	-0.726455	
7436.445498	-0.697277	
7436.447261	-0.676109	
7436.448746	-0.652249	
7436.450537	-0.606963	
7436.452026	-0.552572	
7436.453814	-0.550985	
7436.455295	-0.501219	
7436.457052	-0.501404	
7436.458549	-0.487700	
7436.460294	-0.460352	
7436.461814	-0.416894	
7436.463514	-0.414933	
7436.465045	-0.384378	
7436.466744	-0.359144	
