crossing time (s)	slope (V/s)	crossing number
3254.655583	-63.343265	2763
3255.764291	-65.280851	2764
3256.688778	-60.869397	2765
3257.785661	-61.613036	2766
3258.684447	-53.637427	2767
3259.791041	-59.842956	2768
3260.711464	-59.739391	2769
3261.824932	-55.450547	2770
3262.736653	-54.266361	2771
3263.842118	-58.585863	2772
3264.759841	-52.237400	2773
3265.862415	-54.463440	2774
3266.784531	-54.292019	2775
3267.880658	-53.454056	2776
3268.809762	-52.016046	2777
3269.906670	-51.973008	2778
3270.815573	-48.267849	2779
3271.903837	-49.331120	2780
3272.878235	-49.655278	2781
3273.931647	-47.909613	2782
3274.895351	-44.522988	2783
3275.936148	-45.898775	2784
3276.907176	-42.224743	2785
3277.958970	-45.133207	2786
3278.914458	-41.485792	2787
3280.007003	-41.541286	2788
3280.927469	-41.008374	2789
3282.029764	-40.224586	2790
3282.932288	-37.183003	2791
3284.053597	-40.243214	2792
3284.953596	-35.430059	2793
3286.085629	-37.660925	2794
3286.969145	-35.754968	2795
3288.087450	-38.217673	2796
3288.998251	-35.719122	2797
3290.108653	-35.922223	2798
3291.022241	-32.623907	2799
3292.115067	-33.586783	2800
3293.061545	-33.348837	2801
3294.127513	-32.932933	2802
3295.080684	-31.279025	2803
3296.153800	-32.462793	2804
3297.104114	-29.425332	2805
3298.182754	-31.273549	2806
3299.125181	-29.556939	2807
3300.195150	-29.290438	2808
3301.152993	-27.169529	2809
3302.211199	-29.238909	2810
3303.167549	-26.219770	2811
3304.245978	-27.606011	2812
3305.184393	-25.979739	2813
3306.255504	-26.831616	2814
3307.206781	-23.631861	2815
3308.276628	-25.759679	2816
3309.218163	-24.540031	2817
3310.293353	-23.496286	2818
3311.232209	-22.270547	2819
3312.344021	-23.958907	2820
3313.252931	-22.105497	2821
3314.360164	-22.048399	2822
3315.261505	-21.345439	2823
3316.392251	-20.699565	2824
3317.269176	-19.626257	2825
3318.420922	-20.089291	2826
3319.285277	-18.130711	2827
3320.452710	-19.645349	2828
3321.299179	-17.530963	2829
3322.468521	-18.401584	2830
3323.313033	-16.370171	2831
3324.484024	-17.058884	2832
3325.333060	-15.999744	2833
3326.499452	-17.783350	2834
3327.369694	-14.786172	2835
3328.509991	-17.415591	2836
3329.402614	-14.866718	2837
3330.529196	-15.767170	2838
3331.433337	-14.023215	2839
3332.529937	-15.844981	2840
3333.445661	-14.809769	2841
3334.558267	-14.724552	2842
3335.483116	-14.814472	2843
3336.569159	-15.122626	2844
3337.504559	-12.577494	2845
3338.586047	-14.128026	2846
3339.513809	-12.713912	2847
3340.615357	-14.552982	2848
3341.528031	-12.668489	2849
3342.633680	-14.251285	2850
3343.551929	-12.674986	2851
3344.633829	-10.854125	2852
3345.569957	-10.263363	2853
3346.669615	-13.931936	2854
3347.592203	-12.112871	2855
3348.694569	-10.676437	2856
3349.602573	-10.704326	2857
3350.719075	-11.324049	2858
3351.612238	-9.917210	2859
3352.763714	-13.805077	2860
3353.623952	-8.563180	2861
3354.792661	-9.829955	2862
3355.630447	-8.885543	2863
3356.824664	-9.158384	2864
3357.628999	-8.264477	2865
3358.868091	-9.044395	2866
3359.637511	-6.953827	2867
3360.892224	-8.699319	2868
3361.656935	-7.019723	2869
3362.912760	-7.259106	2870
3363.693502	-6.484476	2871
3364.944962	-7.395087	2872
3365.703283	-6.460756	2873
3366.952045	-7.102429	2874
3367.726464	-6.325612	2875
3368.965906	-6.240659	2876
3369.755960	-6.210957	2877
3370.983884	-6.549012	2878
3371.771827	-5.980054	2879
3372.995088	-6.562890	2880
3373.800381	-7.032209	2881
3375.004704	-7.543749	2882
3375.830174	-6.683916	2883
3377.034622	-6.270263	2884
3377.859211	-5.733027	2885
3379.016121	-3.268438	2886
3379.898626	-5.262714	2887
3381.067547	-5.184665	2888
3381.859404	-3.179144	2889
