time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
2065.699281	268.868835	-0.878394	-0.013904	81
2067.716282	269.560272	-0.870937	-0.013333	83
2069.736867	268.754913	-0.860650	-0.011144	85
2071.750552	269.422546	-0.859642	-0.015118	87
2073.773845	268.858337	-0.842070	-0.010452	89
2075.786619	269.701019	-0.845003	-0.014204	91
2077.807403	268.630798	-0.832950	-0.014196	93
2079.826436	269.556427	-0.818741	-0.008883	95
2081.840331	269.058929	-0.814952	-0.100000	97
2083.861570	268.799835	-0.809086	-0.015322	99
2085.879869	269.305084	-0.793068	-0.008424	101
2087.894509	270.048859	-0.793910	-0.012903	103
2089.913151	269.483704	-0.790996	-0.018540	105
2091.934079	268.977203	-0.774375	-0.012040	107
2093.950676	270.007965	-0.765023	-0.009910	109
2095.966580	269.957458	-0.767834	-0.017313	111
2097.988471	268.460510	-0.746862	-0.100000	113
2100.003771	269.559631	-0.739127	-0.100000	115
2102.021680	269.492615	-0.742538	-0.016821	117
2104.040867	270.014862	-0.727860	-0.011179	119
2106.057740	269.611908	-0.724072	-0.016023	121
2108.075811	270.234680	-0.710305	-0.013049	123
2110.096582	268.354675	-0.376136	-0.100000	125
2113.412938	267.601929	-0.703185	-0.002215	127
2115.432862	267.554535	-0.698466	-0.002110	129
2117.449596	267.293457	-0.693065	-0.001721	131
2119.461619	267.068512	-0.683644	-0.001779	133
2121.475339	267.377380	-0.670589	-0.003314	135
2123.500570	267.896393	-0.665835	-0.003302	137
2125.520277	266.918060	-0.661495	-0.000624	139
2127.531371	267.277649	-0.645476	-0.004244	141
2129.552607	267.801147	-0.646147	-0.003259	143
2131.569459	266.824677	-0.637290	-0.001817	145
2133.588455	267.682037	-0.625959	-0.005687	147
2135.608791	267.231476	-0.627997	-0.001722	149
2137.618484	266.845184	-0.612311	-0.003480	151
2139.643055	267.868958	-0.606637	-0.004794	153
2141.662084	266.912903	-0.604623	-0.002061	155
2143.672829	266.914948	-0.590767	-0.003939	157
2145.693253	267.624817	-0.584212	-0.005114	159
2147.715252	267.391998	-0.583224	-0.003987	161
2149.731196	266.941040	-0.576550	-0.003905	163
2151.746022	266.901428	-0.568322	-0.004157	165
2153.758185	267.111816	-0.557713	-0.004655	167
2155.775690	267.114349	-0.550960	-0.004903	169
2157.792997	267.158295	-0.543812	-0.004949	171
2159.810446	267.140289	-0.537532	-0.005567	173
2161.828680	267.284149	-0.531635	-0.004894	175
2163.845243	267.345306	-0.525953	-0.005671	177
2165.864370	267.317169	-0.517713	-0.005104	179
2167.886420	266.983795	-0.513363	-0.004271	181
2169.903451	266.981964	-0.507931	-0.005213	183
2171.916988	267.340271	-0.501784	-0.006238	185
2173.929324	267.619965	-0.494485	-0.006695	187
2175.953396	267.080231	-0.487757	-0.004712	189
2177.973258	267.021759	-0.485065	-0.005696	191
2179.985874	267.590576	-0.479162	-0.007289	193
2182.005586	267.594910	-0.471790	-0.005403	195
2184.027156	267.030914	-0.467851	-0.005175	197
2186.039822	267.247162	-0.463610	-0.006759	199
2188.053703	267.719757	-0.457046	-0.007592	201
2190.073479	267.688843	-0.449994	-0.006461	203
2192.094472	267.295380	-0.446088	-0.005567	205
2194.113408	267.222565	-0.442030	-0.005904	207
2196.128597	267.412201	-0.435932	-0.006373	209
2198.144619	267.473267	-0.428438	-0.006791	211
2200.159627	267.581604	-0.422464	-0.007118	213
2202.177050	267.583679	-0.416118	-0.007041	215
2204.192410	267.565857	-0.410583	-0.007307	217
2206.210731	267.665802	-0.403709	-0.007267	219
2208.229062	267.890472	-0.399984	-0.007810	221
2210.248393	267.914246	-0.397612	-0.007359	223
2212.269105	267.765411	-0.393912	-0.007097	225
2214.287784	267.448608	-0.390729	-0.006722	227
2216.300893	267.170990	-0.383503	-0.006616	229
2218.311433	267.213470	-0.374882	-0.007396	231
2220.328388	267.532745	-0.369673	-0.007946	233
2222.353155	267.970581	-0.368026	-0.007461	235
2224.372475	267.756012	-0.367283	-0.007280	237

