time (s)	det(V)
2562.877465	1.263346	
2562.879024	1.288603	
2562.880630	1.311214	
2562.882227	1.340516	
2562.883796	1.379393	
2562.885426	1.407290	
2562.886961	1.426513	
2562.888637	1.461446	
2562.890115	1.485516	
2562.891857	1.516413	
2562.893334	1.561683	
2562.895054	1.595114	
2562.896530	1.609177	
2562.898235	1.625145	
2562.899721	1.628098	
2562.901436	1.628017	
2562.902935	1.627957	
2562.904649	1.628126	
2562.906137	1.628005	
2562.907830	1.628114	
2562.909330	1.628086	
2562.910994	1.628191	
2562.912523	1.627985	
2562.914151	1.628094	
2562.915716	1.627957	
2562.917308	1.628021	
2562.918912	1.628009	
2562.920481	1.628078	
2562.922106	1.628062	
2562.923653	1.628122	
2562.925343	1.628017	
2562.926836	1.628130	
2562.928548	1.628134	
2562.930035	1.628094	
2562.931755	1.628130	
2562.933229	1.628098	
2562.934956	1.628070	
2562.936439	1.627981	
2562.938161	1.628163	
2562.939645	1.628050	
2562.941340	1.628082	
2562.942831	1.628098	
2562.944534	1.628138	
2562.946038	1.628038	
2562.947693	1.628062	
2562.949222	1.628106	
2562.950853	1.628158	
2562.952422	1.627913	
2562.954031	1.628118	
2562.955601	1.627941	
2562.957190	1.628118	
2562.958786	1.628062	
2562.960325	1.628098	
2562.962011	1.628013	
2562.963494	1.628134	
2562.965210	1.628138	
2562.966688	1.628122	
2562.968342	1.628126	
2562.969825	1.628094	
2562.971460	1.628211	
2562.972946	1.628009	
2562.974591	1.628094	
2562.976094	1.628021	
2562.977680	1.628054	
2562.979220	1.628001	
2562.980771	1.628090	
2562.982361	1.628030	
2562.983857	1.628046	
2562.985513	1.628082	
2562.987020	1.628150	
2562.988688	1.627993	
2562.990181	1.628037	
2562.991876	1.628066	
2562.993365	1.628054	
2562.995006	1.628118	
2562.996501	1.628070	
2562.998132	1.628122	
2562.999627	1.628078	
2563.001268	1.628001	
2563.002767	1.628126	
2563.004358	1.628170	
2563.005887	1.628030	
2563.007449	1.628102	
2563.009070	1.628009	
2563.010576	1.628150	
2563.012231	1.628034	
2563.013718	1.628013	
2563.015344	1.628122	
2563.016876	1.627989	
2563.018509	1.628050	
2563.019995	1.627973	
2563.021654	1.628046	
2563.023136	1.628050	
2563.024772	1.628062	
2563.026255	1.628150	
2563.027871	1.628130	
2563.029372	1.628070	
2563.030941	1.628138	
2563.032495	1.628013	
2563.034035	1.628179	
2563.035668	1.628018	
2563.037149	1.628090	
2563.038786	1.628106	
2563.040311	1.627981	
2563.041966	1.627997	
2563.043445	1.628046	
2563.045092	1.628158	
2563.046566	1.628066	
2563.048209	1.628078	
2563.049691	1.628058	
2563.051337	1.628062	
2563.052836	1.627925	
2563.054442	1.628215	
2563.055987	1.628062	
2563.057552	1.628038	
2563.059098	1.628066	
2563.060601	1.628130	
2563.062258	1.628042	
2563.063751	1.628114	
2563.065388	1.628090	
2563.066914	1.628022	
2563.068546	1.628050	
2563.070044	1.627973	
2563.071690	1.628167	
2563.073176	1.628009	
2563.074812	1.628082	
2563.076304	1.627941	
2563.077948	1.628138	
2563.079431	1.627985	
2563.081035	1.628082	
2563.082570	1.628102	
2563.084127	1.627957	
2563.085729	1.628046	
2563.087228	1.628106	
2563.088873	1.628066	
2563.090369	1.628070	
2563.092012	1.628009	
2563.093538	1.628066	
2563.095178	1.628102	
2563.096655	1.628042	
2563.098297	1.628025	
2563.099778	1.627953	
2563.101425	1.628017	
2563.102906	1.627953	
2563.104547	1.628022	
2563.106063	1.627957	
2563.107629	1.628026	
2563.109184	1.627852	
2563.110716	1.628074	
2563.112327	1.628074	
2563.113820	1.628142	
2563.115471	1.627715	
2563.116990	1.602651	
2563.118641	1.456709	
2563.120120	1.358039	
2563.121771	1.236038	
2563.123254	1.150400	
2563.124897	1.045111	
2563.126383	0.946349	
2563.128011	0.849138	
2563.129508	0.752430	
2563.131108	0.645248	
2563.132637	0.551461	
2563.134189	0.441258	
2563.135773	0.343068	
2563.137269	0.237683	
2563.138937	0.125998	
2563.140433	0.024291	
2563.142064	-0.094847	
2563.143589	-0.188360	
2563.145218	-0.294301	
2563.146706	-0.382094	
2563.148342	-0.477916	
2563.149835	-0.573935	
2563.151489	-0.683912	
2563.152979	-0.777079	
2563.154625	-0.870194	
2563.156107	-0.966789	
2563.157709	-1.053482	
2563.159235	-1.145505	
2563.160795	-1.221886	
2563.162393	-1.306928	
2563.163889	-1.393154	
2563.165535	-1.474768	
2563.167023	-1.553429	
2563.168652	-1.615256	
2563.170171	-1.626040	
2563.171808	-1.626116	
2563.173283	-1.626164	
2563.174937	-1.625987	
2563.176416	-1.626184	
2563.178046	-1.626132	
2563.179529	-1.626193	
2563.181147	-1.626148	
2563.182671	-1.626116	
2563.184239	-1.626201	
2563.185790	-1.626225	
2563.187295	-1.626092	
2563.188938	-1.626185	
2563.190430	-1.626116	
2563.192067	-1.626104	
2563.193589	-1.626112	
2563.195230	-1.626189	
2563.196706	-1.626136	
2563.198342	-1.626072	
2563.199827	-1.626209	
2563.201463	-1.626172	
2563.202957	-1.626173	
2563.204580	-1.626092	
2563.206090	-1.626181	
2563.207664	-1.626160	
2563.209203	-1.626281	
2563.210738	-1.626116	
2563.212342	-1.626326	
2563.213838	-1.626132	
2563.215490	-1.626120	
2563.216988	-1.626068	
2563.218643	-1.626148	
2563.220142	-1.626148	
2563.221776	-1.626209	
2563.223268	-1.626172	
2563.224908	-1.626160	
2563.226406	-1.626177	
2563.228050	-1.626144	
2563.229532	-1.626265	
2563.231163	-1.626100	
2563.232670	-1.626193	
2563.234261	-1.626112	
2563.235824	-1.626160	
2563.237339	-1.626112	
2563.238988	-1.626092	
2563.240482	-1.626148	
2563.242116	-1.626213	
2563.243628	-1.626104	
2563.245288	-1.626225	
2563.246780	-1.626273	
2563.248421	-1.626128	
2563.249895	-1.626213	
2563.251533	-1.626144	
2563.253011	-1.626213	
2563.254652	-1.626233	
2563.256138	-1.626257	
2563.257732	-1.626044	
2563.259272	-1.626148	
2563.260819	-1.626253	
2563.262435	-1.626225	
2563.263920	-1.626168	
2563.265580	-1.626168	
2563.267073	-1.626156	
2563.268727	-1.626217	
2563.270249	-1.626160	
2563.271885	-1.626173	
2563.273364	-1.626209	
2563.274999	-1.626164	
2563.276484	-1.626201	
2563.278129	-1.626148	
2563.279625	-1.626205	
2563.281249	-1.626205	
2563.282751	-1.626285	
2563.284339	-1.626197	
2563.285885	-1.626144	
2563.287431	-1.626076	
2563.289032	-1.626197	
2563.290521	-1.626201	
2563.292162	-1.626253	
2563.293685	-1.626152	
2563.295310	-1.626281	
2563.296844	-1.626205	
2563.298476	-1.626140	
2563.299970	-1.626164	
2563.301631	-1.626193	
2563.303117	-1.626225	
2563.304697	-1.626229	
2563.306188	-1.626193	
2563.307798	-1.626185	
2563.309300	-1.626193	
2563.310877	-1.626144	
2563.312431	-1.626269	
2563.313945	-1.626152	
2563.315609	-1.626197	
2563.317108	-1.626181	
2563.318749	-1.626173	
2563.320276	-1.626193	
2563.321927	-1.626120	
2563.323419	-1.626104	
2563.325074	-1.626152	
2563.326547	-1.626100	
2563.328116	-1.626181	
2563.329611	-1.626144	
2563.331151	-1.626261	
2563.332694	-1.626185	
2563.334187	-1.626189	
2563.335757	-1.626068	
2563.337281	-1.626144	
2563.338880	-1.626164	
2563.340364	-1.626096	
2563.341996	-1.626128	
2563.343522	-1.626237	
2563.345147	-1.626225	
2563.346618	-1.626140	
2563.348206	-1.626201	
2563.349702	-1.626112	
2563.351256	-1.626064	
2563.352765	-1.626152	
2563.354265	-1.626136	
2563.355838	-1.626092	
2563.357366	-1.626124	
2563.358964	-1.626225	
2563.360463	-1.626084	
2563.362017	-1.626193	
2563.363542	-1.626072	
2563.365187	-1.626161	
2563.366663	-1.626189	
2563.368242	-1.626096	
2563.369725	-1.626168	
2563.371287	-1.626197	
2563.372811	-1.626104	
2563.374312	-1.626092	
2563.375909	-1.626152	
2563.377419	-1.626205	
2563.379005	-1.626100	
2563.380507	-1.626108	
2563.382055	-1.626173	
2563.383585	-1.626152	
2563.385152	-1.626148	
2563.386646	-1.626084	
2563.388228	-1.625314	
2563.389727	-1.615224	
2563.391301	-1.565063	
2563.392824	-1.529239	
2563.394325	-1.495586	
2563.395896	-1.467529	
2563.397416	-1.439802	
2563.399011	-1.406351	
2563.400508	-1.381476	
2563.402089	-1.358221	
2563.403620	-1.327996	
