crossing time (s)	slope (V/s)	crossing number
7108.770297	135.865469	891
7109.785306	126.395825	892
7110.824219	111.921707	893
7111.851930	91.673515	894
7112.871868	75.092057	895
7113.923273	62.425931	896
7114.947537	52.924591	897
7115.995069	43.692961	898
7117.007947	37.176300	899
7118.037535	29.550069	900
7119.087140	23.070261	901
7120.099504	20.022524	902
7121.127004	15.049707	903
7122.192930	12.721783	904
7123.182404	9.652054	905
7124.240176	9.678878	906
7125.260321	4.196613	907
7126.243251	5.023279	908
7127.365393	4.402938	909
7128.312478	4.198617	910
7129.384786	2.981169	911
7130.435940	3.933539	912
7131.400359	1.649948	913
