time (s)	det(V)
6845.210587	1.628050	
6845.212163	1.627921	
6845.213677	1.628009	
6845.215236	1.628158	
6845.216709	1.628038	
6845.218341	1.627321	
6845.219833	1.615062	
6845.221427	1.527092	
6845.222915	1.463545	
6845.224497	1.411286	
6845.226005	1.373524	
6845.227574	1.328101	
6845.229096	1.283520	
6845.230651	1.248779	
6845.232189	1.208641	
6845.233707	1.173107	
6845.235256	1.146585	
6845.236800	1.097431	
6845.238378	1.054751	
6845.239856	1.026186	
6845.241436	0.987889	
6845.242959	0.953238	
6845.244559	0.915174	
6845.246047	0.886315	
6845.247608	0.855881	
6845.249134	0.841665	
6845.250705	0.804133	
6845.252224	0.782312	
6845.253757	0.749002	
6845.255321	0.723623	
6845.256841	0.694148	
6845.258434	0.665442	
6845.259935	0.638831	
6845.261505	0.616232	
6845.263028	0.599640	
6845.264630	0.582157	
6845.266120	0.558462	
6845.267682	0.540774	
6845.269204	0.526252	
6845.270765	0.498400	
6845.272292	0.468151	
6845.273821	0.459176	
6845.275391	0.444964	
6845.276905	0.425818	
6845.278466	0.409962	
6845.279963	0.398264	
6845.281578	0.378980	
6845.283079	0.370614	
6845.284675	0.357957	
6845.286182	0.342049	
6845.287759	0.328066	
6845.289289	0.309218	
6845.290851	0.293318	
6845.292375	0.290462	
6845.293935	0.274703	
6845.295473	0.260681	
6845.297016	0.248845	
6845.298569	0.242461	
6845.300102	0.233562	
6845.301677	0.224031	
6845.303168	0.212164	
6845.304743	0.205469	
6845.306274	0.186161	
6845.307865	0.181210	
6845.309371	0.166217	
6845.310926	0.162462	
6845.312465	0.159445	
6845.314038	0.149080	
6845.315571	0.145306	
6845.317103	0.134030	
6845.318666	0.122026	
6845.320195	0.132149	
6845.321772	0.120866	
6845.323267	0.118791	
6845.324841	0.106509	
6845.326362	0.100797	
6845.327962	0.086089	
6845.329468	0.087717	
6845.331035	0.086460	
6845.332573	0.081034	
6845.334148	0.086319	
6845.335667	0.077166	
6845.337197	0.067692	
6845.338757	0.069738	
6845.340282	0.069299	
6845.341831	0.057186	
6845.343353	0.048892	
6845.344943	0.050648	
6845.346442	0.052489	
6845.348003	0.050572	
6845.349533	0.050853	
6845.351084	0.051228	
6845.352619	0.061887	
6845.354135	0.049581	
6845.355721	0.042378	
6845.357233	0.037520	
6845.358828	0.042535	
6845.360320	0.042104	
6845.361934	0.021020	
6845.363431	0.028275	
6845.365028	0.036770	
6845.366521	0.036283	
6845.368093	0.038930	
6845.369616	0.036746	
6845.371167	0.033004	
6845.372690	0.030031	
6845.374214	0.031429	
6845.375780	0.023872	
6845.377296	0.007972	
6845.378860	0.016633	
6845.380376	0.017882	
6845.381978	0.022349	
6845.383472	0.028807	
6845.385046	0.029677	
6845.386569	0.035929	
6845.388166	0.032786	
6845.389655	0.031981	
6845.391223	0.021052	
6845.392750	0.016166	
6845.394312	0.018881	
6845.395846	0.020266	
6845.397357	0.032243	
6845.398938	0.023449	
6845.400461	0.014941	
6845.402027	0.020778	
6845.403534	0.022377	
6845.405150	0.021249	
6845.406636	0.020456	
6845.408209	0.013080	
6845.409732	0.014518	
6845.411325	0.013132	
6845.412819	0.018240	
6845.414392	0.018458	
6845.415920	0.018526	
6845.417464	0.019271	
6845.419033	0.019682	
6845.420516	0.018397	
6845.422116	0.019630	
6845.423625	0.011179	
6845.425214	0.008669	
6845.426713	0.012431	
6845.428283	0.008254	
6845.429800	0.011279	
6845.431364	0.012572	
6845.432895	0.014824	
6845.434408	0.016838	
6845.435978	0.020037	
6845.437484	0.016782	
6845.439057	0.008327	
6845.440557	0.004975	
6845.442158	0.004826	
6845.443643	0.009873	
6845.445225	0.005591	
6845.446744	0.006264	
6845.448324	0.007223	
6845.449804	0.011771	
6845.451363	0.009019	
6845.452878	0.017342	
6845.454445	0.009362	
6845.455969	0.008012	
6845.457482	-0.001450	
6845.459030	0.003710	
6845.460555	0.008073	
6845.462131	0.003412	
6845.463610	0.006590	
6845.465188	0.007682	
6845.466689	0.012105	
6845.468299	0.011521	
6845.469782	0.015412	
6845.471363	0.012717	
6845.472874	0.008782	
6845.474412	0.005869	
6845.475965	0.003642	
6845.477488	0.004399	
6845.479044	0.006566	
6845.480542	0.011432	
6845.482108	0.013708	
6845.483641	0.009092	
6845.485221	0.014901	
6845.486722	0.018736	
6845.488268	0.014486	
6845.489802	0.015473	
6845.491372	0.012270	
6845.492901	0.012512	
6845.494431	0.012230	
6845.495980	0.013785	
6845.497515	0.018446	
6845.499085	0.017024	
6845.500580	0.022172	
6845.502156	0.022273	
6845.503676	0.023735	
6845.505271	0.025177	
6845.506776	0.027429	
6845.508330	0.033935	
6845.509861	0.027389	
6845.511413	0.023050	
6845.512955	0.029101	
6845.514476	0.037133	
6845.516043	0.039635	
6845.517569	0.030007	
6845.519148	0.042483	
6845.520644	0.045568	
6845.522237	0.034112	
6845.523733	0.040710	
6845.525338	0.037322	
6845.526840	0.035747	
6845.528420	0.033242	
6845.529932	0.036066	
6845.531479	0.047309	
6845.533017	0.044368	
6845.534554	0.039042	
6845.536103	0.054584	
6845.537616	0.049967	
6845.539202	0.041580	
6845.540732	0.046257	
6845.542315	0.046890	
6845.543812	0.050846	
6845.545402	0.044219	
6845.546901	0.050946	
6845.548494	0.048783	
