time (s)	magX	magY	magZ
7849.905567	102.668030	-48.511982	-10.711864
7849.908832	102.200470	-48.570427	-9.601402
7849.912100	101.557571	-48.336643	-9.718293
7849.915449	100.622437	-47.635300	-8.432495
7849.918729	100.271767	-46.758621	-8.257160
7849.922051	98.693748	-45.648159	-8.198714
7849.925363	99.161308	-46.115723	-8.724722
7849.928675	97.817062	-45.531269	-7.497370
7849.932452	97.174171	-45.297489	-7.088253
7849.935794	96.648155	-45.180595	-6.912916
7849.939054	95.888374	-44.479252	-5.218001
7849.942344	96.005264	-44.245472	-4.691993
7849.945637	95.187027	-44.128582	-4.808884
7849.948933	94.251900	-43.251900	-5.627119
7849.952250	93.959671	-43.135010	-4.341321
7849.955524	93.550560	-43.018120	-3.406195
7849.958897	93.258331	-43.310345	-3.289304
7849.962170	92.264763	-42.784340	-2.295733
7849.965479	92.440094	-43.076565	-3.289304
7849.968780	91.680298	-42.258331	-2.237288
7849.972569	90.920517	-41.966103	-2.529515
7849.976268	91.212738	-42.024548	-2.646406
7849.979603	90.336060	-41.907658	-2.120398
7849.982933	89.810051	-41.849213	-2.646406
7849.986308	89.751610	-41.907658	-2.354179
7849.989631	89.868500	-41.673878	-2.295733
7849.992932	89.985390	-41.849213	-1.243717
7849.996282	89.634720	-41.381649	-2.061952
7849.999599	89.693161	-41.440094	-1.419053
7850.002933	89.400932	-41.206314	-1.945061
7850.006265	89.284042	-41.615433	-0.776154
7850.009597	89.284042	-41.381649	-1.302163
7850.012931	88.758034	-41.498543	-1.769725
7850.016264	88.874924	-41.440094	-2.295733
7850.019592	88.933372	-41.206314	-2.354179
7850.022931	89.167152	-40.972534	-2.587960
7850.026258	89.108704	-41.264759	-2.412624
7850.029593	89.225594	-41.381649	-2.003507
7850.032947	89.693161	-41.206314	-1.652835
7850.036260	89.576271	-41.030979	-2.003507
7850.039590	89.517830	-41.089424	-1.360608
7850.042928	90.043831	-40.738750	-1.711280
7850.046263	89.868500	-41.089424	-2.178843
7850.049588	90.686729	-41.440094	-1.945061
7850.052926	90.978958	-40.914089	-1.945061
7850.056256	91.154297	-41.147869	-2.295733
7850.059593	91.095848	-41.030979	-2.529515
7850.062928	91.680298	-41.498543	-2.646406
7850.066254	91.797188	-41.264759	-3.172414
7850.069589	92.089424	-41.498543	-3.230859
7850.072923	92.790764	-41.498543	-3.230859
7850.076287	92.966103	-41.849213	-2.938632
7850.079587	92.790764	-42.492111	-3.464641
7850.082924	94.076561	-42.199886	-3.932203
7850.086253	93.959671	-42.784340	-3.990649
7850.089587	94.661018	-43.193455	-4.341321
7850.092915	94.777908	-43.251900	-4.458211
7850.096248	95.420807	-43.135010	-5.568673
7850.099586	96.063705	-43.719463	-5.451783
7850.102919	95.888374	-44.420807	-6.562244
7850.106251	96.765045	-44.537697	-6.912916
7850.109585	97.758621	-45.005260	-7.263589
7850.112912	98.167732	-45.355934	-7.029807
7850.116249	98.869080	-45.239044	-8.432495
7850.119627	99.570427	-46.466396	-8.081823
7850.122929	99.862656	-46.466396	-8.724722
7850.126258	101.031563	-47.050846	-9.367621
7850.129587	101.674461	-47.693745	-9.542957
7850.132919	103.077148	-48.161308	-10.185856
7850.136248	103.427818	-48.804207	-10.828754
7850.139580	104.246056	-49.505550	-10.711864
7850.142914	106.116310	-49.037991	-10.770309
7850.146250	105.940971	-50.206898	-11.646990
7850.149581	107.577438	-50.616016	-11.939217
7850.152921	108.395676	-51.434250	-13.283461
7850.156251	109.564575	-51.784924	-13.517241
7850.159584	111.084167	-52.310932	-14.803039
7850.162937	112.545303	-53.479839	-14.861485
7850.166250	113.071297	-53.421391	-15.855056
7850.169587	114.473984	-53.713619	-16.497955
7850.172911	115.876678	-54.298073	-16.965517
7850.176241	117.337814	-55.408535	-18.134424
7850.179573	119.091179	-55.174751	-18.485096
7850.182917	120.260086	-56.226768	-18.718878
7850.186246	121.955002	-56.752777	-21.232029
7850.189584	123.299240	-57.454121	-21.524256
7850.192913	124.877266	-58.272354	-22.225599
7850.196246	126.864410	-58.798363	-24.095850
7850.199574	127.974869	-59.441265	-25.147865
7850.202912	129.786667	-60.493282	-26.375219
7850.206278	131.832275	-61.194626	-27.953243
7850.209577	133.644073	-62.480423	-29.180595
7850.212919	135.397430	-62.947987	-29.940386
7850.216245	137.735245	-63.883110	-31.401520
7850.219574	139.839279	-64.993576	-32.979546
7850.222904	141.709534	-66.162476	-34.265343
7850.226244	143.930450	-66.863823	-35.668030
7850.229579	145.859146	-68.266510	-37.479836
7850.232910	148.196960	-69.961426	-39.291641
7850.236241	150.067215	-70.545876	-40.752777
7850.239575	152.346573	-71.714783	-43.207481
7850.242911	155.210403	-73.059029	-44.727058
7850.246238	157.314438	-74.344826	-46.831093
7850.249597	160.412033	-75.513733	-49.811806
7850.252905	162.399185	-76.857979	-51.623611
7850.256296	164.737000	-78.435997	-54.662766
7850.259574	167.776154	-79.546463	-56.649910
7850.262902	170.815308	-81.241371	-60.098190
7850.266240	173.854477	-83.462303	-62.377556
7850.269565	175.607834	-84.689651	-65.358269
7850.272902	178.354767	-85.917007	-67.637634
7850.276233	182.212158	-87.611916	-72.430161
7850.279574	185.601990	-89.540619	-75.177086
7850.282901	188.465805	-90.651085	-79.151375
7850.286237	192.089417	-92.579773	-82.658096
7850.289566	195.771484	-93.807129	-86.515488
7850.292929	199.044418	-95.794273	-91.483345
7850.296237	202.960251	-97.781410	-94.873177
7850.299564	206.525421	-99.476326	-100.016365
7850.302902	210.441269	-100.879021	-105.159561
7850.306231	213.597305	-102.632378	-109.893639
7850.309566	217.571609	-103.976616	-114.861488
7850.312902	221.312103	-106.080650	-120.004684
7850.316234	225.870834	-107.834007	-126.141441
7850.319561	229.728241	-109.295143	-132.570419
7850.322939	233.760971	-110.931618	-138.473404
7850.326233	237.852127	-112.568085	-145.194626
7850.329567	242.235535	-114.321449	-151.740494
7850.332900	246.560486	-116.133255	-158.812393
7850.336249	250.242554	-117.769722	-165.825821
7850.339564	254.625946	-119.113960	-172.897720
7850.342892	259.126251	-120.867325	-180.028046
7850.346232	263.217407	-122.971359	-189.320862
7850.349564	267.133240	-124.315598	-197.561661
7850.352898	271.867340	-126.361183	-206.854462
7850.356228	276.367615	-128.056107	-216.848633
7850.359565	280.692566	-130.277039	-225.849197
7850.362896	284.842194	-132.673294	-235.668030
7850.366244	289.167145	-134.718872	-245.954407
7850.369558	293.024567	-135.829330	-256.942139
7850.372890	296.823486	-138.400940	-268.046753
7850.376226	301.440674	-140.388077	-280.612518
7850.379558	305.473419	-142.199890	-292.710693
7850.382890	308.980133	-143.953247	-305.276428
7850.386700	312.779083	-145.648163	-319.712433
7850.389988	316.402679	-147.343079	-333.388672
7850.393316	319.909424	-149.447113	-348.233765
7850.396687	323.240784	-150.732910	-362.903564
7850.399986	326.046173	-152.310928	-377.924011
7850.403314	329.026886	-153.596741	-394.054932
7850.406648	331.656921	-154.707199	-410.244324
7850.409990	334.286957	-155.759216	-426.901245
7850.413332	335.572754	-156.986557	-444.317963
7850.416669	337.209229	-157.804794	-461.734680
7850.420012	338.202789	-157.337234	-479.385132
7850.423371	339.430145	-157.454117	-498.905884
7850.426640	339.839294	-157.571014	-517.959106
7850.429981	340.423737	-156.869675	-536.310913
7850.433318	339.605499	-156.752777	-556.065491
7850.436652	339.079498	-155.525436	-574.709534
7850.440000	336.917023	-154.005844	-594.522522
7850.443307	335.397430	-152.603165	-614.686157
7850.446641	332.416718	-149.739334	-633.505554
7850.449997	328.968445	-147.459976	-653.552307
7850.453337	325.403259	-144.596146	-674.300415
7850.456657	320.610748	-141.323212	-692.886047
7850.459969	315.818237	-137.641159	-711.880798
7850.463311	309.681488	-133.316193	-730.641785
7850.466642	302.317383	-128.757446	-749.578003
7850.469967	295.011688	-123.380478	-767.462341
7850.473308	286.887787	-118.354179	-785.931030
7850.476683	278.237885	-113.269432	-801.945068
7850.479970	268.828156	-107.308006	-819.653992
7850.483345	257.781982	-101.288132	-835.784912
7850.486672	247.028046	-94.508476	-851.097595
7850.489998	234.929855	-87.728806	-865.533691
7850.493325	222.305664	-81.124481	-878.742249
7850.496644	208.278793	-73.818817	-892.418518
7850.499961	193.901230	-65.870247	-903.640015
7850.503304	177.887207	-58.097019	-913.984802
7850.506640	163.042084	-50.265343	-923.803650
7850.509967	146.385162	-41.966103	-931.693787
7850.513298	129.377563	-33.199299	-938.064331
7850.516640	111.960838	-24.900059	-943.733521
7850.519998	94.076561	-15.899473	-948.058411
7850.523330	75.549385	-5.613091	-951.039124
7850.526676	57.139099	3.212156	-952.967834
7850.529967	38.495033	12.504968	-951.798950
7850.533300	19.617184	21.563995	-951.214539
7850.536632	-0.254238	31.149033	-948.467590
7850.539980	-19.073641	40.324955	-944.785522
7850.543293	-37.542374	49.267094	-939.291687
7850.546633	-56.478668	58.910580	-931.810669
7850.549969	-74.596725	68.378731	-924.388123
7850.553323	-92.364120	76.853310	-914.686157
7850.556655	-110.365280	86.555229	-904.049133
7850.559981	-126.554642	95.555817	-892.360046
7850.563347	-142.802460	103.913506	-879.560486
7850.566629	-158.524246	113.732323	-865.884338
7850.569991	-173.544724	121.564003	-851.682129
7850.573294	-187.922256	129.512558	-836.427795
7850.576622	-201.832260	137.402695	-820.589172
7850.579967	-214.807144	144.533020	-802.997070
7850.583301	-226.379303	151.780243	-786.632446
7850.586669	-236.782593	158.033890	-768.865051
7850.589983	-247.653412	164.170654	-750.922302
7850.593321	-257.647583	169.606079	-732.921082
7850.597052	-266.414368	175.509064	-715.036865
7850.599983	-274.479828	180.184692	-695.925232
7850.603722	-282.253052	184.860306	-677.222717
7850.607092	-289.850952	189.009933	-658.286438
7850.610403	-295.403290	192.282867	-640.109924
7850.613802	-300.546478	195.205139	-621.582703
7850.617137	-305.923431	198.010513	-602.003540
7850.620457	-309.839294	200.172989	-583.768616
7850.623720	-313.638214	201.692581	-565.475220
7850.627060	-316.794250	202.861481	-547.707764
7850.630395	-319.658112	203.855057	-528.771545
