time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
8250.367885	329.683441	1.577904	0.098736	65
8252.428900	329.536072	1.523947	0.100000	67
8254.492747	329.631744	1.481052	0.100000	69
8256.553431	329.428925	1.435918	0.100000	71
8258.612995	329.531494	1.388517	0.100000	73
8260.673046	329.732300	1.343575	0.100000	75
8262.733577	329.922272	1.299709	0.100000	77
8264.795234	329.838409	1.256658	0.100000	79
8266.857010	329.488037	1.218516	0.100000	81
8268.915647	329.836609	1.182405	0.100000	83
8270.973398	330.912720	1.144383	0.100000	85
8273.034903	330.470337	1.102154	0.100000	87
8275.096350	330.078735	1.069288	0.100000	89
8277.151887	331.089478	1.035423	0.100000	91
8279.210411	331.404755	0.996596	0.100000	93
8281.272185	330.951141	0.960337	0.100000	95
8283.332650	330.707733	0.928310	0.100000	97
8285.391883	330.879578	0.896421	0.100000	99
8287.450997	331.025269	0.865557	0.100000	101
8289.509536	331.202057	0.836136	0.100000	103
8291.566130	331.467743	0.805384	0.100000	105
8293.621284	331.706238	0.775404	0.100000	107
8295.680900	331.812134	0.742934	0.100000	109
8297.744445	331.870178	0.716731	0.100000	111
8299.802860	331.766937	0.693450	0.100000	113
8301.856285	332.068237	0.668124	0.100000	115
8303.913326	332.245300	0.640366	0.100000	117
8305.974506	332.288269	0.615971	0.100000	119
8308.035715	332.120911	0.593789	0.100000	121
8310.095157	331.979370	0.570957	0.100000	123
8312.153625	332.132111	0.549107	0.100000	125
8314.210875	332.246368	0.528419	0.100000	127
8316.264420	332.704742	0.508365	0.100000	129
8318.320984	333.358765	0.489553	0.100000	131
8320.380730	333.064240	0.467667	0.100000	133
8322.445583	332.121582	0.449116	0.100000	135
8324.504929	331.829132	0.433737	0.100000	137
8326.558739	332.554199	0.417453	0.100000	139
8328.611823	333.493958	0.400236	0.100000	141
